date,id1,id2,object,value,event,devices
2022-01-10 00:45:01,1361,1,полукопченые колбасы,6.5,Температура вышла за пределы допустимого,sensor_1
2022-01-10 01:10:01,1362,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2022-01-10 01:20:01,1363,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2022-01-10 01:35:01,1364,5,молочная продукция,7.8,Температура вышла за пределы допустимого,sensor_5
2022-01-10 01:50:01,1365,5,молочная продукция,6,Температура в пределах допустимого,sensor_5
2022-01-10 03:20:01,1366,7,сырое мясо,5.5,Температура вышла за пределы допустимого,sensor_7
2022-01-10 03:45:01,1367,2,вареные колбасы,8.2,Температура вышла за пределы допустимого,sensor_2
2022-01-10 03:50:00,1368,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-10 04:05:00,1369,2,вареные колбасы,5.9,Температура в пределах допустимого,sensor_2
2022-01-10 04:15:00,1370,1,полукопченые колбасы,5.6,Температура в пределах допустимого,sensor_1
2022-01-10 04:20:00,1371,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-10 04:35:01,1372,5,молочная продукция,7.9,Температура вышла за пределы допустимого,sensor_5
2022-01-10 04:50:01,1373,5,молочная продукция,5.9,Температура в пределах допустимого,sensor_5
2022-01-10 06:25:01,1374,7,сырое мясо,5.6,Температура вышла за пределы допустимого,sensor_7
2022-01-10 07:00:01,1375,1,полукопченые колбасы,6.5,Температура вышла за пределы допустимого,sensor_1
2022-01-10 07:15:01,1376,1,полукопченые колбасы,5.8,Температура в пределах допустимого,sensor_1
2022-01-10 07:20:01,1377,7,сырое мясо,3.5,Температура в пределах допустимого,sensor_7
2022-01-10 07:35:01,1378,5,молочная продукция,7.6,Температура вышла за пределы допустимого,sensor_5
2022-01-10 07:45:00,1379,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
2022-01-10 07:50:01,1380,5,молочная продукция,5.5,Температура в пределах допустимого,sensor_5
2022-01-10 08:05:01,1381,2,вареные колбасы,5.6,Температура в пределах допустимого,sensor_2
2022-01-10 08:20:01,1382,7,сырое мясо,4.4,Температура вышла за пределы допустимого,sensor_7
2022-01-10 08:30:01,1383,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-10 09:50:01,1384,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-10 09:50:01,1385,7,сырое мясо,5.6,Температура вышла за пределы допустимого,sensor_7
2022-01-10 10:15:01,1386,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2022-01-10 10:25:01,1387,1,полукопченые колбасы,5.6,Температура в пределах допустимого,sensor_1
2022-01-10 10:30:01,1388,5,молочная продукция,8.1,Температура вышла за пределы допустимого,sensor_5
2022-01-10 10:50:01,1389,5,молочная продукция,6,Температура в пределах допустимого,sensor_5
2022-01-10 11:20:01,1390,7,сырое мясо,4.1,Температура вышла за пределы допустимого,sensor_7
2022-01-10 11:25:01,1391,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-10 11:35:01,1392,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
2022-01-10 12:20:01,1393,2,вареные колбасы,5.8,Температура в пределах допустимого,sensor_2
2022-01-10 12:25:44,1394,7,сырое мясо,5.3,Температура вышла за пределы допустимого,sensor_7
2022-01-10 13:10:01,1395,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-10 13:25:01,1396,1,полукопченые колбасы,5.6,Температура в пределах допустимого,sensor_1
2022-01-10 13:25:01,1397,7,сырое мясо,3.9,Температура в пределах допустимого,sensor_7
2022-01-10 13:30:01,1398,5,молочная продукция,8.4,Температура вышла за пределы допустимого,sensor_5
2022-01-10 13:55:01,1399,5,молочная продукция,5.5,Температура в пределах допустимого,sensor_5
2022-01-10 15:45:01,1400,2,вареные колбасы,8.3,Температура вышла за пределы допустимого,sensor_2
2022-01-10 15:55:01,1401,7,сырое мясо,5.7,Температура вышла за пределы допустимого,sensor_7
2022-01-10 16:10:01,1402,2,вареные колбасы,5.9,Температура в пределах допустимого,sensor_2
2022-01-10 16:15:01,1403,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-10 16:20:01,1404,1,полукопченые колбасы,6.2,Температура вышла за пределы допустимого,sensor_1
2022-01-10 16:25:01,1405,1,полукопченые колбасы,5.6,Температура в пределах допустимого,sensor_1
2022-01-10 16:30:01,1406,5,молочная продукция,8.5,Температура вышла за пределы допустимого,sensor_5
2022-01-10 16:55:01,1407,5,молочная продукция,5.9,Температура в пределах допустимого,sensor_5
2022-01-10 18:45:01,1408,7,сырое мясо,5.9,Температура вышла за пределы допустимого,sensor_7
