date,id1,id2,object,value,event,devices
2022-01-13 04:00:01,1579,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2022-01-13 04:10:01,1580,5,молочная продукция,8.2,Температура вышла за пределы допустимого,sensor_5
2022-01-13 04:20:00,1581,2,вареные колбасы,5.7,Температура в пределах допустимого,sensor_2
2022-01-13 05:05:01,1582,5,молочная продукция,5.6,Температура в пределах допустимого,sensor_5
2022-01-13 05:05:01,1583,7,сырое мясо,4.6,Температура вышла за пределы допустимого,sensor_7
2022-01-13 05:15:01,1584,7,сырое мясо,3.5,Температура в пределах допустимого,sensor_7
2022-01-13 06:15:01,1585,7,сырое мясо,6,Температура вышла за пределы допустимого,sensor_7
2022-01-13 07:00:01,1586,7,сырое мясо,3.9,Температура в пределах допустимого,sensor_7
2022-01-13 07:10:01,1587,5,молочная продукция,8.4,Температура вышла за пределы допустимого,sensor_5
2022-01-13 07:50:01,1588,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-13 08:00:01,1589,2,вареные колбасы,8.2,Температура вышла за пределы допустимого,sensor_2
